"FA" "MA" "Math" "SCIE" "READ"
"148148" NA NA 532.178 509.92 536.678
"148149" 1 1 690.38 682.804 657.582
"148150" 1 1 635.31 643.732 654.726
"148151" 1 1 582.108 563.45 581.162
"148152" 1 0 557.882 593.752 610.16
"148153" 1 1 579.926 558.692 531.434
"148154" 0 0 673.01 638.232 603.388
"148155" 1 1 619.186 614.454 634.788
"148156" 0 0 623.316 596.176 599.04
"148157" 0 1 591.066 605.596 625.65
"148158" 1 1 603.994 586.29 558.094
"148159" 1 1 620.59 603.356 606.346
"148160" 0 0 545.11 523.07 545.108
"148161" 1 1 575.252 583.03 579.258
"148162" 1 0 663.662 641.122 582.866
"148163" 1 1 629.388 610.91 537.172
"148164" 0 1 588.572 570.72 598.64
"148165" 0 1 600.256 641.31 589.346
"148166" 1 1 595.972 584.614 585.294
"148167" 0 0 583.43 589.558 584.582
"148168" 0 1 566.528 582.562 514.196
"148169" 0 1 578.132 602.144 595.384
"148170" NA 0 583.278 598.694 569.248
"148171" NA 1 606.412 629.468 685.468
"148172" 0 1 515.508 538.364 576.398
"148173" 1 1 680.72 649.794 575.732
"148174" 1 1 552.276 566.15 566.628
"148175" 0 0 659.534 664.808 561.784
"148176" 1 1 649.64 701.64 657.666
"148177" NA NA 680.878 677.49 593.928
"148178" 1 0 749.97 744.256 696.86
"148179" 1 0 559.364 554.402 549.546
"148180" 1 1 671.45 728.872 628.002
"148181" 1 1 493 526.146 508.15
"148182" 1 0 473.914 548.248 522.38
"148183" 1 1 619.186 609.138 617.072
"148184" 1 0 570.19 599.16 578.536
"148185" 1 0 524.154 542.838 503.42
"148186" 1 1 600.568 641.962 610.242
"148187" 0 0 597.298 623.406 583.268
"148188" 0 0 607.112 617.902 545.75
"148189" 1 0 676.438 679.542 580.46
"148190" 0 0 589.898 605.13 496.048
"148191" NA NA 588.106 631.892 543.424
"148192" 0 0 635.698 638.698 516.086
"148193" NA 0 503.048 530.998 469.79
"148194" 1 1 649.486 673.2 543.824
"148195" 0 1 626.584 665.368 626.998
"148196" 1 0 631.726 653.524 600.07
